,property_type,seller,status,rate per sqft,price,area,location,RERA
0,3 BHK Apartment in Siddartha Solitaire Phase 2,Siddartha Builders,Under Construction,"4,800 / sq ft", 65.8 L,1371 ,Hosa Road,approval by RERA
1,2 BHK Apartment in Preeti Elements 5,Preeti Developers Pvt Ltd,Ready to move,"6,499 / sq ft", 1.11 Cr,1711 ,Hennur,not approval by RERA
2,3 BHK Apartment in Casa Grand Galileo,Casagrand Builder Private Limited,Under Construction,"5,518 / sq ft", 96.01 L,1740 ,Krishnarajapura,approval by RERA
3,3 BHK Villa in JRC Palladio,JRC Projects Pvt Ltd,Under Construction,"6,000 / sq ft", 1.25 Cr,2095 ,Sarjapur,approval by RERA
4,2 BHK Apartment in Aryan Opulence,Aryan Constructions,Ready to move,"6,075 / sq ft", 81.4 L,1340 ,RR Nagar,not approval by RERA
5,2 BHK Apartment in CBR Sarasthira,CBR Builders,Under Construction,"5,228 / sq ft", 61.38 L,1174 ,Krishnarajapura,approval by RERA
6,3 BHK Apartment in V2 Holdings Skywalk,Ncorp Infra Pvt Ltd,Under Construction,"6,000 / sq ft", 1.1 Cr,1846 ,Banashankari,approval by RERA
7,1 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,975 / sq ft", 40.1 L,575 ,Bannerghatta,not approval by RERA
8,3 BHK Apartment in Devagiri Emeralds,Devagiri Promoters,Ready to move,"5,950 / sq ft", 1.07 Cr,1800 ,Uttarahalli,not approval by RERA
9,1 BHK Apartment in Vaishnavi Serene,Vaishnavi Group,Under Construction,"7,176 / sq ft", 45.57 L,635 ,Yelahanka,approval by RERA
10,3 BHK Apartment in Provident Park Square,Provident Housing Limited,Under Construction,"6,757 / sq ft", 88.39 L,1308 ,Talaghattapura,approval by RERA
11,3 BHK Apartment in Bavisha Grey Stone,Bavisha Homes Private Limited,Under Construction,"4,300 / sq ft", 53.92 L,1254 ,Sarjapur,approval by RERA
12,3 BHK Apartment in Formist The Formist Treehouse,Formist Reality Pvt Ltd,Ready to move,"5,900 / sq ft", 84.96 L,1440 ,Thanisandra,not approval by RERA
13,1 BHK Apartment in Shellton Godrej Park Retreat,Shellton Group,Under Construction,"7,680 / sq ft", 48 L,625 ,Chikkanayakanahalli at Off Sarjapur,approval by RERA
14,3 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,818 / sq ft", 1.23 Cr,1812 ,Brookefield,approval by RERA
15,2 BHK Apartment in Eswar Vanamali,Eswar Constructions,Under Construction,"5,000 / sq ft", 50 L,1000 ,Narayanapura on Hennur Main Road,approval by RERA
16,4 BHK Villa in Puravankara Sparkling Springs The Sound Of Water,Puravankara Limited,Under Construction,"11,666 / sq ft", 3.49 Cr,3000 ,Bannerghatta,approval by RERA
17,3 BHK Apartment in MR MRG Bliss,MR Group,Under Construction,"5,007 / sq ft", 80.61 L,1610 ,Singasandra,approval by RERA
18,2 BHK Apartment in SBR Pravanika,SBR Group,Under Construction,"6,269 / sq ft", 71.72 L,1144 ,Budigere Cross,approval by RERA
19,2 BHK Apartment in Shravanthi Prima,SHRAVANTHI SHELTERS,Under Construction,"6,993 / sq ft", 70 L,1001 ,Bilekahalli,approval by RERA
20,3 BHK Apartment in Mantri Webcity,Mantri Developers,Ready to move,"7,273 / sq ft", 1.26 Cr,1740 ,Kuvempu Layout on Hennur Main Road,not approval by RERA
21,2 BHK Apartment in Navami Vruksha,Navami Builders and Developers,Ready to move,"9,167 / sq ft", 1.01 Cr,1112 ,Yeshwantpur,not approval by RERA
22,3 BHK Apartment in Monarch Aqua,Monarch Properties,Under Construction,"6,305 / sq ft", 1.01 Cr,1604 ,Krishnarajapura,approval by RERA
23,3 BHK Apartment in Meda Heights,Meda Constructions,Under Construction,"7,264 / sq ft", 1.22 Cr,1680 ,Sarjapur Road Wipro To Railway Crossing,approval by RERA
24,2 BHK Apartment in Pariwar Pragathi,Pariwar Housing Corporation,Ready to move,"6,000 / sq ft", 72.9 L,1215 ,Gottigere,not approval by RERA
25,3 BHK Apartment in GR Samskruthi,GR Constructions,Under Construction,"3,756 / sq ft", 52.96 L,1410 ,Attibele,approval by RERA
26,2 BHK Apartment in Esteem Splendor,Esteem Group,Ready to move,"9,500 / sq ft", 1.06 Cr,1117 ,Adugodi,not approval by RERA
27,1 BHK Apartment in Sumadhura Aspire Aurum,Sumadhura Homes LLP,Under Construction,"7,582 / sq ft", 25.25 L,333 ,Kannamangala,approval by RERA
28,3 BHK Apartment in Ecolife Elements Of Nature Akash Block,Ecolife Developers,Under Construction,"6,193 / sq ft", 93.21 L,1505 ,Varthur,approval by RERA
29,2 BHK Apartment in Pristine Grove,Pristine Homes,Under Construction,"4,915 / sq ft", 58 L,1180 ,Narayanapura on Hennur Main Road,approval by RERA
30,2 BHK Apartment in Mythri Sapphire,Mythri Builders,Under Construction,"5,092 / sq ft", 55 L,1080 ,Sarjapur,approval by RERA
31,3 BHK Apartment in Modern 302 West,Modern Spaaces,Under Construction,"4,000 / sq ft", 58.76 L,1469 ,Sarjapur,approval by RERA
32,4 BHK Apartment in Vijaya Hara Vijaya Heights,Vijaya Enterprises,Ready to move,"5,375 / sq ft", 1.72 Cr,3200 ,Talaghattapura,not approval by RERA
33,2 BHK Apartment in Godrej Royale Woods,Godrej Properties Ltd,Under Construction,"4,674 / sq ft", 45.99 L,984 ,Devanahalli,approval by RERA
34,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,773 / sq ft", 79.58 L,1175 ,Krishnarajapura,approval by RERA
35,2 BHK Apartment in Sree Shree Sai Sunshine,Sree Sai Builders,Under Construction,"5,248 / sq ft", 62.2 L,1185 ,Krishnarajapura,approval by RERA
36,2 BHK Apartment in Shellton Shriram WYT Field 2,Shriram Properties,Under Construction,"5,957 / sq ft", 52.9 L,888 ,Bommanahalli,approval by RERA
37,2 BHK Apartment in DSR Parkway Phase 1,DSR Infrastructure Pvt Ltd,Under Construction,"5,904 / sq ft", 77.34 L,1310 ,Gunjur,approval by RERA
38,3 BHK Apartment in DK Sri Krishna Residency,Dk Projects,Under Construction,"6,500 / sq ft", 80.6 L,1240 ,JP Nagar Phase 1,approval by RERA
39,4 BHK Apartment in Keya Life By The Lake,Keya Homes,Ready to move,"9,923 / sq ft", 3.85 Cr,3880 ,Jakkur,not approval by RERA
